TF	miRNA
AGO2	hsa-miR-155-3p
AGO2	hsa-miR-155-5p
AHR	hsa-miR-106b-3p
AHR	hsa-miR-106b-5p
AHR	hsa-miR-132-3p
AHR	hsa-miR-132-5p
AHR	hsa-miR-212-3p
AHR	hsa-miR-212-5p
AHR	hsa-miR-25-3p
AHR	hsa-miR-25-5p
AHR	hsa-miR-93-3p
AHR	hsa-miR-93-5p
AKT1	hsa-let-7e-3p
AKT1	hsa-let-7e-5p
AKT1	hsa-miR-155-3p
AKT1	hsa-miR-155-5p
AKT1	hsa-miR-181c-3p
AKT1	hsa-miR-181c-5p
AKT1	hsa-miR-22-3p
AKT1	hsa-miR-22-5p
AKT2	hsa-miR-200a-3p
AKT2	hsa-miR-200a-5p
AKT2	hsa-miR-200b-3p
AKT2	hsa-miR-200b-5p
AKT2	hsa-miR-200c-3p
AKT2	hsa-miR-200c-5p
AKT2	hsa-miR-22-3p
AKT2	hsa-miR-22-5p
AKT3	hsa-miR-22-3p
AKT3	hsa-miR-22-5p
AML1	hsa-miR-223-3p
AML1	hsa-miR-223-5p
AP-1	hsa-miR-101-2-5p
AP-1	hsa-miR-101-3p
AP-1	hsa-miR-155-3p
AP-1	hsa-miR-155-5p
AP-1	hsa-miR-199a-3p
AP-1	hsa-miR-199a-5p
AP-1	hsa-miR-206
AP-1	hsa-miR-21-3p
AP-1	hsa-miR-21-5p
AP-1	hsa-miR-24-1-5p
AP-1	hsa-miR-24-3p
AP-1	hsa-miR-27b-3p
AP-1	hsa-miR-27b-5p
AP-1	hsa-miR-29a-3p
AP-1	hsa-miR-29a-5p
AP-1	hsa-miR-29b-1-5p
AP-1	hsa-miR-29b-3p
AP-1	hsa-miR-30a-3p
AP-1	hsa-miR-30a-5p
AP-1	hsa-miR-34c-3p
AP-1	hsa-miR-34c-5p
APEX1	hsa-miR-125b-2-3p
APEX1	hsa-miR-125b-5p
APEX1	hsa-miR-133b
AR	hsa-let-7c-3p
AR	hsa-let-7c-5p
AR	hsa-miR-125b-2-3p
AR	hsa-miR-125b-5p
AR	hsa-miR-133b
AR	hsa-miR-1-3p
AR	hsa-miR-145-3p
AR	hsa-miR-145-5p
AR	hsa-miR-17-3p
AR	hsa-miR-17-5p
AR	hsa-miR-182-3p
AR	hsa-miR-182-5p
AR	hsa-miR-18a-3p
AR	hsa-miR-18a-5p
AR	hsa-miR-190a-3p
AR	hsa-miR-190a-5p
AR	hsa-miR-19a-3p
AR	hsa-miR-19a-5p
AR	hsa-miR-19b-1-5p
AR	hsa-miR-19b-3p
AR	hsa-miR-20a-3p
AR	hsa-miR-20a-5p
AR	hsa-miR-21-3p
AR	hsa-miR-21-5p
AR	hsa-miR-216a-3p
AR	hsa-miR-216a-5p
AR	hsa-miR-27a-3p
AR	hsa-miR-27a-5p
AR	hsa-miR-32-3p
AR	hsa-miR-32-5p
AR	hsa-miR-539-3p
AR	hsa-miR-539-5p
AR	hsa-miR-92a-1-5p
AR	hsa-miR-92a-3p
AR	hsa-miR-99a-3p
AR	hsa-miR-99a-5p
ARNT	hsa-miR-106b-3p
ARNT	hsa-miR-106b-5p
ARNT	hsa-miR-25-3p
ARNT	hsa-miR-25-5p
ARNT	hsa-miR-93-3p
ARNT	hsa-miR-93-5p
ASCL2	hsa-miR-141-3p
ASCL2	hsa-miR-141-5p
ASCL2	hsa-miR-200a-3p
ASCL2	hsa-miR-200a-5p
ASCL2	hsa-miR-200b-3p
ASCL2	hsa-miR-200b-5p
ASCL2	hsa-miR-200c-3p
ASCL2	hsa-miR-200c-5p
ASCL2	hsa-miR-429
ASH1L	hsa-miR-375-3p
ASH1L	hsa-miR-375-5p
ATF3	hsa-miR-199a-3p
ATF3	hsa-miR-199a-5p
ATF3	hsa-miR-590-3p
ATF3	hsa-miR-590-5p
ATF4	hsa-miR-106b-3p
ATF4	hsa-miR-106b-5p
ATF4	hsa-miR-25-3p
ATF4	hsa-miR-25-5p
ATF4	hsa-miR-93-3p
ATF4	hsa-miR-93-5p
ATOH8	hsa-miR-126-3p
ATOH8	hsa-miR-126-5p
ATOH8	hsa-miR-221-3p
ATOH8	hsa-miR-221-5p
BANP	hsa-miR-221-3p
BANP	hsa-miR-221-5p
BANP	hsa-miR-222-3p
BANP	hsa-miR-222-5p
BCL2L2	hsa-miR-29c-3p
BCL2L2	hsa-miR-29c-5p
BCL6	hsa-miR-155-3p
BCL6	hsa-miR-155-5p
BCL6	hsa-miR-361-3p
BCL6	hsa-miR-361-5p
BCR	hsa-miR-155-3p
BCR	hsa-miR-155-5p
BMI1	hsa-let-7i-3p
BMI1	hsa-let-7i-5p
BMI1	hsa-miR-141-3p
BMI1	hsa-miR-141-5p
BMI1	hsa-miR-200c-3p
BMI1	hsa-miR-200c-5p
BMI1	hsa-miR-31-3p
BMI1	hsa-miR-31-5p
BMP2	hsa-miR-24-1-5p
BMP2	hsa-miR-24-3p
BMP2	hsa-miR-31-3p
BMP2	hsa-miR-31-5p
BMP4	hsa-miR-145-3p
BMP4	hsa-miR-145-5p
BMP4	hsa-miR-200a-3p
BMP4	hsa-miR-200a-5p
BMP4	hsa-miR-200b-3p
BMP4	hsa-miR-200b-5p
BMP4	hsa-miR-200c-3p
BMP4	hsa-miR-200c-5p
BMP4	hsa-miR-205-3p
BMP4	hsa-miR-205-5p
BMP6	hsa-miR-21-3p
BMP6	hsa-miR-21-5p
BMPR1A	hsa-miR-17-3p
BMPR1A	hsa-miR-17-5p
BMPR1A	hsa-miR-18a-3p
BMPR1A	hsa-miR-18a-5p
BMPR1A	hsa-miR-19a-3p
BMPR1A	hsa-miR-19a-5p
BMPR1A	hsa-miR-19b-1-5p
BMPR1A	hsa-miR-19b-3p
BMPR1A	hsa-miR-20a-3p
BMPR1A	hsa-miR-20a-5p
BMPR1A	hsa-miR-21-3p
BMPR1A	hsa-miR-21-5p
BMPR1A	hsa-miR-92a-1-5p
BMPR1A	hsa-miR-92a-3p
BMPR1B	hsa-miR-21-3p
BMPR1B	hsa-miR-21-5p
BRCA1	hsa-miR-146a-3p
BRCA1	hsa-miR-146a-5p
BRCA1	hsa-miR-146b-3p
BRCA1	hsa-miR-146b-5p
BRCA1	hsa-miR-152-3p
BRCA1	hsa-miR-152-5p
BRCA1	hsa-miR-155-3p
BRCA1	hsa-miR-155-5p
BRCA1	hsa-miR-205-3p
BRCA1	hsa-miR-205-5p
BRCA1	hsa-miR-593-3p
BRCA1	hsa-miR-593-5p
BRCA1	hsa-miR-99b-3p
BRCA1	hsa-miR-99b-5p
BRD4	hsa-miR-146a-3p
BRD4	hsa-miR-146a-5p
BRD4	hsa-miR-155-3p
BRD4	hsa-miR-155-5p
BRD7	hsa-miR-141-3p
BRD7	hsa-miR-141-5p
calcineurin	hsa-miR-133b
CAMP	hsa-miR-155-3p
CAMP	hsa-miR-155-5p
CBFB	hsa-miR-221-3p
CBFB	hsa-miR-221-5p
CBX7	hsa-miR-9-3p
CBX7	hsa-miR-9-5p
CCND1	hsa-miR-17-3p
CCND1	hsa-miR-17-5p
CCND1	hsa-miR-18a-3p
CCND1	hsa-miR-18a-5p
CCND1	hsa-miR-19a-3p
CCND1	hsa-miR-19a-5p
CCND1	hsa-miR-19b-1-5p
CCND1	hsa-miR-19b-3p
CCND1	hsa-miR-20a-3p
CCND1	hsa-miR-20a-5p
CCND1	hsa-miR-92a-1-5p
CCND1	hsa-miR-92a-3p
CDK4	hsa-miR-141-3p
CDK4	hsa-miR-141-5p
CDK4	hsa-miR-146b-3p
CDK4	hsa-miR-146b-5p
CDK	hsa-miR-449a
CDK	hsa-miR-449b-3p
CDK	hsa-miR-449b-5p
CDKN1A	hsa-miR-182-3p
CDKN1A	hsa-miR-182-5p
CDKN1A	hsa-miR-183-3p
CDKN1A	hsa-miR-183-5p
CDKN1A	hsa-miR-96-3p
CDKN1A	hsa-miR-96-5p
CDKN2A	hsa-miR-141-3p
CDKN2A	hsa-miR-141-5p
CDKN2A	hsa-miR-146b-3p
CDKN2A	hsa-miR-146b-5p
CDKN2A	hsa-miR-410-3p
CDKN2A	hsa-miR-410-5p
CDX1	hsa-miR-215-3p
CDX1	hsa-miR-215-5p
CDX2	hsa-miR-615-3p
CDX2	hsa-miR-615-5p
