Gene	miRNA
AATF	hsa-miR-2909
AATK	hsa-miR-1250-3p
AATK	hsa-miR-1250-5p
AATK	hsa-miR-338-3p
AATK	hsa-miR-338-5p
AATK	hsa-miR-657
ABCA6	hsa-miR-4524a-3p
ABCA6	hsa-miR-4524a-5p
ABCC10	hsa-miR-6780b-3p
ABCC10	hsa-miR-6780b-5p
ABCF1	hsa-miR-877-3p
ABCF1	hsa-miR-877-5p
ABHD16A	hsa-miR-4646-3p
ABHD16A	hsa-miR-4646-5p
ABLIM2	hsa-miR-95-3p
ABLIM2	hsa-miR-95-5p
ABR	hsa-miR-3183
AC000120.3	hsa-miR-1285-3p
AC000120.3	hsa-miR-1285-5p
AC004080.3	hsa-miR-196b-3p
AC004080.3	hsa-miR-196b-5p
AC005670.2	hsa-miR-5089-3p
AC005670.2	hsa-miR-5089-5p
AC008481.3	hsa-miR-7974
AC012531.3	hsa-miR-196a-3p
AC012531.3	hsa-miR-196a-5p
AC012531.3	hsa-miR-615-3p
AC012531.3	hsa-miR-615-5p
AC013394.1	hsa-miR-3175
AC018512.1	hsa-miR-1282
AC019257.8	hsa-miR-3674
AC019257.8	hsa-miR-596
AC020907.6	hsa-miR-6887-3p
AC020907.6	hsa-miR-6887-5p
AC022384.1	hsa-miR-12127
AC022506.1	hsa-miR-616-3p
AC022506.1	hsa-miR-616-5p
AC026316.4	hsa-miR-6828-3p
AC026316.4	hsa-miR-6828-5p
AC069288.1	hsa-miR-4655-3p
AC069288.1	hsa-miR-4655-5p
AC097634.4	hsa-miR-1284
AC112128.1	hsa-miR-8076
AC132217.2	hsa-miR-483-3p
AC132217.2	hsa-miR-483-5p
AC138969.1	hsa-miR-6511a-3p
AC138969.1	hsa-miR-6511a-5p
AC138969.1	hsa-miR-6770-3p
AC138969.1	hsa-miR-6770-5p
ACAP3	hsa-miR-6726-3p
ACAP3	hsa-miR-6726-5p
ACBD6	hsa-miR-3121-3p
ACBD6	hsa-miR-3121-5p
ACMSD	hsa-miR-5590-3p
ACMSD	hsa-miR-5590-5p
ACSS3	hsa-miR-4699-3p
ACSS3	hsa-miR-4699-5p
ADAMTSL1	hsa-miR-3152-3p
ADAMTSL1	hsa-miR-3152-5p
ADAMTSL4	hsa-miR-4257
ADCY6	hsa-miR-4701-3p
ADCY6	hsa-miR-4701-5p
ADCY7	hsa-miR-6771-3p
ADCY7	hsa-miR-6771-5p
ADGRB2	hsa-miR-4254
AFTPH	hsa-miR-4434
AGPAT1	hsa-miR-6721-5p
AGPAT5	hsa-miR-4659a-3p
AGPAT5	hsa-miR-4659a-5p
AIP	hsa-miR-6752-3p
AIP	hsa-miR-6752-5p
AK1	hsa-miR-4672
AKT2	hsa-miR-641
AL117348.2	hsa-miR-6741-3p
AL117348.2	hsa-miR-6741-5p
AL132780.3	hsa-miR-4707-3p
AL132780.3	hsa-miR-4707-5p
AL136531.2	hsa-miR-6869-3p
AL136531.2	hsa-miR-6869-5p
AL157935.2	hsa-miR-4672
AL355987.1	hsa-miR-6722-3p
AL355987.1	hsa-miR-6722-5p
AL358472.7	hsa-miR-6737-3p
AL358472.7	hsa-miR-6737-5p
AL359736.1	hsa-miR-2276-3p
AL359736.1	hsa-miR-2276-5p
AL451062.3	hsa-miR-6079
AL662899.1	hsa-miR-4646-3p
AL662899.1	hsa-miR-4646-5p
AL929554.1	hsa-miR-3621
ALDH2	hsa-miR-6761-3p
ALDH2	hsa-miR-6761-5p
ALDH4A1	hsa-miR-1290
ALDH4A1	hsa-miR-4695-3p
ALDH4A1	hsa-miR-4695-5p
AMBRA1	hsa-miR-3160-3p
AMBRA1	hsa-miR-3160-5p
AMOTL2	hsa-miR-6827-3p
AMOTL2	hsa-miR-6827-5p
ANAPC1	hsa-miR-4771
ANK1	hsa-miR-486-3p
ANK1	hsa-miR-486-5p
ANK2	hsa-miR-1243
ANK2	hsa-miR-8082
ANKH	hsa-miR-4637
ANKRD28	hsa-miR-3134
ANKRD30B	hsa-miR-3156-3p
ANKRD30B	hsa-miR-3156-5p
ANKRD30BL	hsa-miR-663b
ANKRD54	hsa-miR-658
ANKRD54	hsa-miR-659-3p
ANKRD54	hsa-miR-659-5p
ANP32A	hsa-miR-4312
ANTXR1	hsa-miR-3126-3p
ANTXR1	hsa-miR-3126-5p
AOPEP	hsa-miR-2278
AOPEP	hsa-miR-23b-3p
AOPEP	hsa-miR-23b-5p
AOPEP	hsa-miR-27b-3p
AOPEP	hsa-miR-27b-5p
AOPEP	hsa-miR-6081
AP002990.1	hsa-miR-6747-3p
AP002990.1	hsa-miR-6747-5p
AP003071.5	hsa-miR-3164
AP1S1	hsa-miR-4653-3p
AP1S1	hsa-miR-4653-5p
AP2A1	hsa-miR-6799-3p
AP2A1	hsa-miR-6799-5p
AP3S2	hsa-miR-5009-3p
AP3S2	hsa-miR-5009-5p
AP3S2	hsa-miR-5094
APOLD1	hsa-miR-613
ARFGAP1	hsa-miR-4326
ARHGAP10	hsa-miR-4799-3p
ARHGAP10	hsa-miR-4799-5p
ARHGAP24	hsa-miR-4451
ARHGAP6	hsa-miR-548ax
ARHGEF11	hsa-miR-765
ARHGEF2	hsa-miR-6738-3p
ARHGEF2	hsa-miR-6738-5p
ARHGEF9	hsa-miR-1468-3p
ARHGEF9	hsa-miR-1468-5p
ARID4B	hsa-miR-4753-3p
ARID4B	hsa-miR-4753-5p
ARL10	hsa-miR-1271-3p
ARL10	hsa-miR-1271-5p
ARL15	hsa-miR-581
ARL2	hsa-miR-6879-3p
ARL2	hsa-miR-6879-5p
ARL2-SNX15	hsa-miR-6879-3p
ARL2-SNX15	hsa-miR-6879-5p
ARMC9	hsa-miR-4777-3p
ARMC9	hsa-miR-4777-5p
ARNT2	hsa-miR-5572
ARPIN-AP3S2	hsa-miR-5009-3p
ARPIN-AP3S2	hsa-miR-5009-5p
ARPIN-AP3S2	hsa-miR-5094
ARPP21	hsa-miR-128-2-5p
ARPP21	hsa-miR-128-3p
ARRB1	hsa-miR-326
ASB2	hsa-miR-4506
ASB3	hsa-miR-3682-3p
ASB3	hsa-miR-3682-5p
ASH1L	hsa-miR-555
ASTN1	hsa-miR-488-3p
ASTN1	hsa-miR-488-5p
ATAD2	hsa-miR-548d-3p
ATAD2	hsa-miR-548d-5p
ATF2	hsa-miR-933
ATG2A	hsa-miR-6749-3p
ATG2A	hsa-miR-6749-5p
ATG2A	hsa-miR-6750-3p
ATG2A	hsa-miR-6750-5p
ATG4D	hsa-miR-1238-3p
ATG4D	hsa-miR-1238-5p
ATP10A	hsa-miR-4715-3p
ATP10A	hsa-miR-4715-5p
ATP11C	hsa-miR-505-3p
ATP11C	hsa-miR-505-5p
ATP2B2	hsa-miR-885-3p
ATP2B2	hsa-miR-885-5p
ATP5MD	hsa-miR-1307-3p
ATP5MD	hsa-miR-1307-5p
ATP6V0A1	hsa-miR-5010-3p
