TF	miRNA
Ahr	mmu-mir-132
Ahr	mmu-mir-212
Ahr	mmu-mir-302a
Ahr	mmu-mir-302b
Ahr	mmu-mir-302c
Ahr	mmu-mir-302d
Ahr	mmu-mir-367
Akt1	mmu-mir-21
Atf4	mmu-mir-211
Bcl6	mmu-mir-21
Bmi1	mmu-mir-300
Bmp7	mmu-mir-455
Cdx2	mmu-mir-196b
Cebpa	mmu-mir-101b
Cebpa	mmu-mir-130a
Cebpa	mmu-mir-130b
Cebpa	mmu-mir-140
Cebpa	mmu-mir-21
Cebpa	mmu-mir-22
Cebpa	mmu-mir-223
Cebpa	mmu-mir-34a
Cebpa	mmu-mir-476
Cebpa	mmu-mir-758
Cebpb	mmu-mir-130a
Cebpb	mmu-mir-130b
Cebpb	mmu-mir-142
Cebpb	mmu-mir-146a
Cebpb	mmu-mir-155
Cebpb	mmu-mir-181b
Cebpb	mmu-mir-21
Cebpb	mmu-mir-223
Cebpb	mmu-mir-455
Cebpb	mmu-mir-476
Cebpb	mmu-mir-758
Clock	mmu-mir-142
Clock	mmu-mir-17
Cp2	mmu-mir-144
Creb1	mmu-mir-132
Creb1	mmu-mir-212
Crebbp	mmu-mir-132
Crebbp	mmu-mir-212
Crtc1	mmu-mir-132
Crtc1	mmu-mir-212
Ctnnb1	mmu-mir-211
Ddit3	mmu-mir-708
E2f1	mmu-mir-30b
E2f1	mmu-mir-325
E2f1	mmu-mir-421
E2f2	mmu-let-7a-1
E2f3	mmu-mir-141
E2f3	mmu-mir-200c
Ep300	mmu-mir-192
Erk1/2	mmu-mir-132
Erk1/2	mmu-mir-212
Esr1	mmu-mir-375
Esrrb	mmu-mir-499
Esrrg	mmu-mir-208b
Esrrg	mmu-mir-499
Ets1	mmu-mir-17
Ets1	mmu-mir-18a
Ets1	mmu-mir-192
Ets1	mmu-mir-19a
Ets1	mmu-mir-19b-1
Ets1	mmu-mir-20a
Ets1	mmu-mir-92a-1
Ets2	mmu-mir-17
Ets2	mmu-mir-18a
Ets2	mmu-mir-19a
Ets2	mmu-mir-19b-1
Ets2	mmu-mir-20a
Ets2	mmu-mir-92a-1
Etv6	mmu-mir-130a
Ezh2	mmu-mir-208b
Ezh2	mmu-mir-29b-2
Ezh2	mmu-mir-29c
Foxh1	mmu-mir-1188
Foxh1	mmu-mir-1193
