miRNA	Gene
mmu-miR-124-3p	Itgb1
mmu-miR-210-3p	Tcf7l2
mmu-miR-21a-5p	Fasl
mmu-miR-137-3p	Ezh2
mmu-miR-9-5p	Stmn1
mmu-miR-23b-3p	Smad5
mmu-miR-23b-3p	Smad4
mmu-miR-23b-3p	Smad3
mmu-miR-133a-3p	Nfatc4
mmu-miR-21a-5p	Peli1
mmu-miR-20b-5p	Hif1a
mmu-miR-140-5p	Hdac4
mmu-miR-155-5p	Cebpb
mmu-miR-21a-5p	Pdcd4
mmu-miR-155-5p	Rhoa
mmu-miR-134-5p	Sox2
mmu-miR-470-5p	Nanog
mmu-miR-296-5p	Nanog
mmu-miR-134-5p	Fadd
mmu-miR-134-5p	Nanog
mmu-let-7a-5p	Hoxa9
mmu-miR-145a-5p	Hoxa9
mmu-miR-21a-5p	Spry2
mmu-miR-16-5p	Wnt3a
mmu-miR-16-5p	Ccnd1
mmu-miR-16-5p	Bcl2
mmu-miR-15a-5p	Wnt3a
mmu-miR-15a-5p	Ccnd1
mmu-miR-15a-5p	Bcl2
mmu-miR-200a-3p	Dlx5
mmu-miR-141-3p	Dlx5
mmu-miR-27b-3p	Runx1
mmu-miR-27a-3p	Runx1
mmu-miR-106a-5p	Stat3
mmu-miR-93-5p	Stat3
mmu-miR-20a-5p	Stat3
mmu-miR-17-5p	Stat3
mmu-miR-1a-3p	Gata4
mmu-miR-1a-3p	Calm2
mmu-miR-1a-3p	Calm1
mmu-miR-1a-3p	Mef2a
mmu-miR-144-3p	Enpp6
mmu-miR-32-5p	Enpp6
mmu-miR-21a-5p	Pten
mmu-miR-199a-5p	Sirt1
mmu-miR-199a-5p	Hif1a
mmu-miR-200a-3p	Nrp1
mmu-miR-141-3p	Cdh11
mmu-miR-7b-5p	Fos
mmu-miR-429-3p	Zeb1
mmu-miR-429-3p	Zeb2
mmu-miR-375-3p	Insm1
mmu-miR-375-3p	Mxi1
mmu-miR-375-3p	Usp1
mmu-miR-375-3p	C1qbp
mmu-miR-375-3p	Jak2
mmu-miR-375-3p	Adipor2
mmu-miR-375-3p	Ahr
mmu-miR-206-3p	Pola1
mmu-miR-206-3p	Gja1
mmu-miR-200b-3p	Zeb1
mmu-miR-200b-3p	Zeb2
mmu-miR-200a-3p	Zeb2
mmu-miR-200a-3p	Zeb1
mmu-miR-181a-5p	Bcl2
mmu-miR-181a-5p	Cd69
mmu-miR-16-5p	Ccnt2
mmu-miR-145a-5p	Tmod3
mmu-miR-141-3p	Zeb2
mmu-miR-141-3p	Zeb1
mmu-miR-141-3p	Stk3
mmu-miR-141-3p	Klf5
mmu-miR-124-3p	Adipor2
mmu-miR-124-3p	Mtpn
mmu-miR-124-3p	Mapk14
mmu-miR-124-3p	Ahr
mmu-miR-124-3p	Vamp3
mmu-miR-103-3p	Gpd1
