miRNA	TCGA-D8-A27I	TCGA-A2-A0YC	TCGA-A8-A09Q	TCGA-AQ-A54O	TCGA-AC-A23E	TCGA-E2-A10F	TCGA-E2-A105	TCGA-AC-A3YJ	TCGA-EW-A2FV	TCGA-A7-A5ZW	TCGA-A2-A0EX	TCGA-A8-A085	TCGA-E9-A54X	TCGA-EW-A1IW	TCGA-A7-A0D9	TCGA-A2-A0T7	TCGA-A2-A1FW	TCGA-BH-A8G0	TCGA-A8-A07B	TCGA-A2-A0ES	TCGA-D8-A27R	TCGA-AO-A12B	TCGA-BH-A0BF	TCGA-D8-A1XS	TCGA-E2-A15K	TCGA-AN-A0XP	TCGA-B6-A0IN	TCGA-BH-A0HW	TCGA-OL-A66N	TCGA-BH-A0BJ	TCGA-E2-A1IO	TCGA-OL-A5RV	TCGA-BH-A0B4	TCGA-D8-A1Y0	TCGA-BH-A0BP	TCGA-AN-A0FF	TCGA-A8-A09A	TCGA-AR-A0TV	TCGA-AN-A0AK	TCGA-A2-A04V	TCGA-B6-A0X4	TCGA-D8-A1Y1	TCGA-BH-A0H3	TCGA-B6-A408	TCGA-AR-A1AW	TCGA-A8-A07P	TCGA-S3-A6ZG	TCGA-BH-A0BV	TCGA-E9-A22A	TCGA-BH-A18U	TCGA-OL-A66K	TCGA-A8-A07F	TCGA-B6-A0X5	TCGA-B6-A0RQ	TCGA-E2-A576	TCGA-A2-A25E	TCGA-A2-A0ET	TCGA-A8-A08I	TCGA-EW-A2FW	TCGA-A2-A1FV	TCGA-BH-A0C7	TCGA-AR-A5QN	TCGA-GM-A2DN	TCGA-BH-A8FY	TCGA-BH-A0B1	TCGA-EW-A2FS	TCGA-EW-A6SC	TCGA-EW-A3E8	TCGA-EW-A1OZ	TCGA-A2-A1FZ	TCGA-E2-A10C	TCGA-BH-A0BR	TCGA-AN-A0AS	TCGA-A2-A0CR	TCGA-A2-A0CW	TCGA-B6-A0IP	TCGA-OL-A6VQ	TCGA-A8-A099	TCGA-D8-A1X5	TCGA-PE-A5DD	TCGA-A8-A09E	TCGA-A2-A4RW	TCGA-AR-A0TZ	TCGA-3C-AAAU	TCGA-D8-A1XV	TCGA-BH-AB28	TCGA-EW-A1PC	TCGA-D8-A1XM	TCGA-AC-A3OD	TCGA-AC-A7VB	TCGA-A7-A0CJ	TCGA-AO-A0J3	TCGA-A2-A0ER	TCGA-A7-A4SB	TCGA-BH-A18L	TCGA-BH-A1EV	TCGA-D8-A1J8	TCGA-AO-A0JG	TCGA-D8-A1XB
hsa-miR-21-5p	16.71606225840717	18.284060973558717	18.551335679278278	18.32061991157595	17.78519461047474	18.31799588395727	17.7211319161925	17.65118075985611	18.25375129421744	18.51835766910809	18.580183955651282	18.65974563536442	17.687578833034927	18.607179971804634	14.463236814259385	18.59120768216403	17.982950506473813	18.235835684839863	17.251145424598953	16.877836888087934	17.542136679654135	16.07819178008263	18.661222277326285	18.58611654606984	18.071411619292657	18.348829444169496	16.67115756993758	18.062789301632172	17.399391896238058	18.00788420409677	18.186907563719586	18.180989116338125	17.988829922041774	16.685385974073956	18.305195517179087	17.459588159502363	17.97447292254384	17.442690247431994	17.39454129777692	17.431389339553494	16.630469198376492	17.597311389890425	17.627109223361572	16.979264958591102	17.48953389791688	18.39110390489138	18.71151785598103	16.096210035743137	18.286303480114277	18.080517453265955	17.809957108638823	18.034172742054594	17.328348936111734	17.953707608285224	17.426592944835786	15.883802185625617	17.01426560637404	17.40839707363686	17.09459197105115	16.700238600701915	18.34088041556281	17.56981249873525	17.862133368894533	17.198671033606328	17.87885270628422	18.29124837835825	18.154709694407163	18.53293623174826	18.807588520765407	17.701386095389694	17.616238509686486	17.874820499671177	17.178486019926932	17.72865836925776	18.20417233243095	17.517589232574263	18.131181366934292	17.14354597827016	17.884403437175855	17.588735797784228	18.14150357202269	18.45447643060823	17.62716342642646	17.517547546184773	16.305651269649484	18.539350752382013	18.64080994047266	18.196364487595392	17.441698765006297	17.982385275272314	17.40483659835542	18.437392317894645	17.19514696779625	17.319093452360292	15.713101247260367	15.738606515112574	17.957676385657106	18.252465349861428	18.435487309482962
hsa-miR-22-3p	15.289581905170772	16.029562148519606	15.740113685247845	16.107192449284312	16.864519767688424	16.379583848185987	15.80709150385948	15.65974756064413	15.65228000688588	16.4049705508269	15.815563443648774	15.069471797336407	15.60980419389729	16.58871311934428	17.691843627423893	16.42327056842964	14.919318617028747	16.306090962860317	15.688219145864595	16.186892109968483	16.07421777316448	16.33060406906195	16.853642721051113	16.501303288922465	16.487611605130652	16.476199109478824	15.735056320707844	15.074051885174669	15.527142434348004	15.743765276966064	16.01286965079797	16.035807440286128	16.107201962642577	15.248439035632696	16.457617899716976	16.00114394358982	16.154896568028963	15.769933034699298	16.213923757314507	15.012068109017697	15.106070732007318	16.580778192673336	16.109193952658458	14.737516652588216	15.966932934402166	15.292720116042277	15.973861244762599	16.324045708556902	17.485148765020906	16.29967383266486	15.848952134119394	15.661964511718821	15.528198880448997	16.07126880573887	14.94148199443912	15.813261342721118	14.719232395339967	15.296802621952272	16.26321640947229	14.924789378136772	16.21022500419458	16.192705403662476	15.855646347068628	15.1921384504985	15.442447962392478	15.56022030611434	16.196668259034375	15.680004348795162	16.401134208542334	16.90993765715497	15.696262050159074	16.755775000022552	15.510261036051258	15.420221551074356	16.39664015916412	16.055664444865773	15.832048012419312	15.181629603316754	16.36803988313534	15.107205573771726	15.599469612090532	15.299075435305104	15.097010430976294	15.6203539616253	15.726975835815695	15.833712816698537	15.79300938075908	16.911956573229805	15.06597804479689	15.24255247813832	14.579157606175231	14.76539098645134	16.120777402783837	15.046067684199409	17.13753588964924	16.155487935392355	16.49918283960491	15.474457191356477	16.613147645878332
hsa-miR-10b-5p	17.70927822374713	15.890433123380056	14.94430871247182	16.11468017344806	17.561132640649813	15.486193760199848	15.883842426002888	14.43300867287619	16.35734915036683	16.13951503663862	17.014245412596537	14.435775783370456	15.957163788174576	16.718293919329707	18.14154403878711	16.321542649268952	15.311638743837078	16.896382010347	16.776192655773947	17.680436075915136	16.926131650059396	14.930640340227319	15.835554569046721	16.33794389935198	15.595412670754607	15.692481912393625	16.828778470765926	14.939197399377113	16.18636992740762	16.805976455595626	16.760727449296056	16.42085126719264	16.865480641842428	16.54071646907623	15.884015577928414	17.264648540336005	16.500974879334844	16.263594226515508	14.439665160060114	16.339971783161648	14.711858031896623	15.821332752150635	16.44830554876418	18.458106057303844	14.805727569498366	14.57014825676715	14.99053155903257	18.11385067377081	16.60827698331	15.738667946952125	16.195055183607355	17.108403457378746	14.599526722280139	16.76694708314193	16.43729600210407	16.37748488604906	16.80092912438852	13.436954806284914	15.73013724651899	15.674961120942724	16.761913065921988	16.640627711017316	14.614337991399188	13.847419990557901	15.922742209283136	17.067895526655462	16.073616038078896	15.973835471360731	15.288764015666791	16.6403957178999	13.72203451456224	16.152031549642388	14.523439783780713	17.818081017688986	14.808447314165043	16.55316314421954	16.02678279772956	13.486628549426635	15.598048010064375	15.974209743535402	15.656230618649577	16.0945814639641	15.247498057694285	15.656425413858704	14.215659015349763	15.834214747342438	15.452043516703515	16.80317729476418	15.919146852647557	15.314455022483832	13.311017515421144	15.809189030162981	15.929884691650338	16.394880994168144	17.972339404683204	18.127025072713312	16.355158217331272	16.159254812018826	16.493139523056794
hsa-miR-30a-5p	15.200418884878282	13.50345083569895	12.062765854160466	15.65733064194096	15.114381815782652	16.018511255400828	13.927484886983482	16.145487753297168	14.131188656453599	16.35775243709696	16.319753431722965	17.980137277306365	16.566207561309408	15.028256982902134	14.713417021995458	15.192732766902584	15.760221059256779	16.184534086107305	15.046633607245642	15.975281241455983	13.071110556350996	16.455593949752206	13.506976774829443	16.187286437002452	12.134236400900685	16.18031922766143	15.10645784068387	17.350141841238052	16.50748193419678	15.354741721382098	15.440367922839563	16.394522652738377	15.384504687598785	15.451412405168792	13.925666892790996	16.55168038944434	16.761096598026214	17.366155282815505	13.463449081488399	18.315227121289386	16.110953351810913	13.172464980336358	15.94276213827377	17.03811477919451	15.621144553046003	17.588158011736226	16.30724119904186	16.13247806863764	12.670451976290748	12.639759160582049	17.027831872277247	16.68337926450258	16.54999394366321	16.088921921527934	16.089941433073403	15.422641785146155	16.66038740211702	16.54361066154507	13.866885919254955	14.795168356275447	15.416137173769442	16.03165051977689	15.822521400608169	16.76549212094153	15.438867762887313	14.577017699463992	16.271013269049675	15.564752680735335	14.286189292193692	15.824834921713919	15.424389597261527	13.37011325524884	18.58515127722361	15.149793792725335	13.580041448791999	17.57234000147525	16.72768240862379	17.1201230832515	14.169253934127518	15.834361845150823	17.250662646711675	15.412834291416724	17.875338289654326	13.447696017788639	16.833287415885728	16.415048614056015	13.59026784224437	14.803177288472739	16.943530838996242	12.713800472698901	17.637208179997618	14.602286887007569	17.315388453367774	17.915519572594068	15.546237941648258	15.187512910446728	14.438035207988698	16.16236701705544	16.043548521550463
hsa-miR-148a-3p	13.969994492606535	15.06188025463765	16.31791415965597	14.883198393360706	14.503090536412826	14.26959396531957	13.492506473509794	15.82838746017661	14.072537521271983	14.47413481337738	13.860660099407674	13.34548250673968	15.248844352510352	14.212518029904317	13.609431923659995	13.832281808616438	14.823541474668245	14.53408032124781	15.24777312745751	15.694212338422838	13.302644148803461	17.80540057889105	16.06980399410171	14.525184654384033	14.856095811219124	15.25935860215615	15.862125331917655	14.529252692295119	16.417636419364303	15.338285145447895	15.301180676411539	15.101512930555977	14.224476980113174	14.943347196610574	15.435652736906121	14.715214580961606	14.030128434923652	16.34962517407469	16.13677558814424	14.470089008637679	16.677624488834496	14.658045578506202	16.293806091879667	15.002320545204189	17.084341723914275	13.163068988881523	15.122616272582588	15.029867277665463	13.298696377612309	15.815119294108083	15.478046007861211	15.534307726603497	13.147674008107419	15.342837596343616	12.954834116495908	14.049578771748699	12.087141493940823	17.55757257012351	16.37598861732779	13.592576226120315	14.43342209680161	14.539358419439111	16.454065293492008	15.929182640405092	14.654403282575403	15.596528028848429	14.314552086694846	15.666381082759377	14.816062503599003	15.47473441768374	15.769268187286247	16.074823400872333	15.397038166365308	15.028207539179748	15.646122096617656	15.138407620213508	15.940141235493611	17.249247112921463	16.352536130216034	14.96488626052163	16.054531768202647	13.51239302560694	13.173409095528864	16.26391724520571	17.182196242036724	16.06360128356032	14.021974513729539	13.726263417559954	14.695791747050746	14.344968474133466	14.171809517539286	14.462414481554672	15.73726247021635	16.212175824144616	14.695400498274637	14.221006143624122	16.04599630505802	15.850398672840194	15.336369415133305
hsa-miR-182-5p	15.719587875315131	16.595488990637158	15.21551519656979	16.7825431963508	15.20165866611082	15.551163213525918	16.290545472541282	15.43692559946254	13.71844418517377	14.941624980343168	15.299060278898937	14.538578672172612	16.625696178634286	14.851556322411906	13.437609909017365	13.761512448645679	15.024078584139387	14.30068582599155	14.757626738156269	14.643618665691164	14.29535235156576	15.839851297098123	14.39949296154612	14.178912309715564	14.766212472088025	15.39011895897004	16.825503817808176	14.096616661716556	16.72527077579497	16.251777451708232	15.22493074346442	15.332423509152775	15.517211926488566	15.560060934546225	15.471019833401765	15.639287848717478	15.637311754428808	13.436797438881452	15.489235071852924	15.551762048561814	16.80982099996385	15.174289720054263	14.59761159197571	15.894495031592681	15.955203326795258	15.259133397216065	14.436246607802742	14.63656744655784	13.81959011120014	14.746789159874833	15.779083083355014	16.484473235897692	17.137067024691603	15.258173516017381	16.806459862320587	14.730989252799217	15.320303625541131	15.612785086675856	13.532507667102847	17.108368784169762	15.093851278930252	16.517746379097286	14.067080513952638	16.005397844040175	15.667709639864714	15.16329275942468	16.106835093703857	15.663364927727857	14.778274368695165	15.022467577350174	16.104775804334515	16.71498388816547	12.688406767111092	14.980949716422083	15.27800472118554	15.26757182088471	15.20965056066638	15.021889356181347	15.902597169570619	17.70125049290565	15.01440757916393	17.334567053647202	16.716559238428452	16.388554602960518	16.17873607348979	14.962763366604833	14.190584825264207	14.390244590643576	15.999789214242561	16.259280841428136	16.554079811886844	17.39066015179457	16.187250295054163	16.50765383320842	13.163496724892669	13.153184907282938	16.419435256672887	15.846366177832216	14.300368974874804
hsa-miR-99b-5p	14.48290770964978	15.042256378870974	15.605149518384096	15.075874457168497	15.748909818326483	14.84937848879819	16.01346251787684	14.833077672808422	16.431486717673355	13.411127997686593	13.962065571572813	14.502893971655432	15.319636534832494	15.278113824933802	14.873583861742922	14.739041117708002	15.828439484851081	13.744664317263737	17.027023040896832	15.743996339390993	16.9174538884723	13.340575400807442	15.422910373910614	15.134434638024167	16.538262042128768	14.192370975696916	15.192935432490914	15.608362977531264	13.678934710260899	14.667399516884867	16.41382113506215	13.998579738863928	16.473744032234904	16.795713523702315	15.718142602799839	15.49991932607384	15.924426641903976	14.514024528315753	16.07156727115013	14.658977028142454	14.766515585505358	16.99461934588971	14.93178387569073	13.964849968528128	14.851656600781048	15.435631835368552	14.271792925829246	14.632075547464531	13.988803139581021	15.967522643687238	13.68013836643944	14.410372447362086	14.865131134422516	14.572167432828824	14.888329167075979	17.95722823328554	15.427577937970014	17.25629563085192	15.902718964892857	15.45086985698255	15.394382489604963	14.491958398850352	13.522277194200251	14.01122172111624	15.518687877136212	15.72418869196955	15.152758030460708	14.319299986734006	15.086540555324518	15.746318142181275	14.982097704752166	15.425790349967826	14.742099423794174	13.844514006727943	15.366695036187787	14.306563761659655	14.15935410316239	14.2488278667448	16.45854669562787	14.517798240035544	14.943110880687891	14.308646077888625	15.890886880424894	15.493970931606773	15.651613079269849	13.99667228616382	15.526687629178806	15.656522095325673	14.158582899508367	15.963998278726109	14.706389347537774	14.616174710771492	14.87601401236628	13.413419813468796	14.993385142943325	14.479197570446585	15.616433077374525	14.642777960320899	15.583057691218967
hsa-miR-143-3p	17.347085752367825	14.470994653277593	14.13939883471858	14.138003876861642	14.548631333807206	16.46598009353213	15.518719078160366	15.309979877313818	16.03416050900204	15.047718752504634	13.44779796990004	14.178287447283786	15.137530548676278	15.132957474610269	15.975444481381412	15.981866611637225	15.103198114797452	15.687656583526435	15.122131098422281	15.014565327444808	16.571991569531477	14.321379595294076	14.788184356720873	14.795803377179446	15.644818119477085	15.157197531243968	14.821316123228629	15.117491100181597	14.337826422618802	15.13856822839072	14.88860539783512	15.227888867536521	15.838593219167114	14.544272699701974	15.119554108203017	12.867941331133906	13.719276868790757	14.673158030405334	15.175768623667256	10.893204547401755	12.968631552092576	13.858789964407652	16.067222739074353	13.0905840533134	14.457118443627413	13.477223775624118	15.287816860291908	15.970761247397594	16.190207691663954	15.288524629399266	13.862934321322859	12.430069696530982	13.538397012318677	15.698572010028867	14.916317236711658	13.827673368159402	11.528951298109883	11.976381553367052	15.94070935155294	16.359632968642558	15.428034820597976	15.142756805047547	17.21427457937386	15.1096850631074	16.623928045929745	15.350852953040583	15.7045373444519	14.506663229892679	15.102056767581596	14.761607606881165	14.22347995876084	15.127392649945914	14.65314941090888	15.64449607467064	15.177784566570315	14.636575635608478	14.791037965876306	12.871196378962425	14.804172684101626	13.859641901521314	14.42623688530624	13.99516118701873	13.588423210989998	14.989804351558453	13.173177107627911	14.49148142030713	15.423728148465077	15.502042996394282	15.187711143935077	14.911937711211111	14.799252870323789	13.755148121852823	11.533444108611977	13.970471420663674	16.402716014513096	16.85937246046072	15.648390765271309	14.84382634484456	14.596045644283771
hsa-let-7a-5p	15.682559694413982	15.118860020754738	14.608495784368495	14.416086288903466	14.272222028354737	14.99139348073587	15.959215181374823	15.688488052702187	14.989849963634102	15.0841800385712	14.43624278134926	13.609700814486926	14.536887464766808	14.378710037350402	14.290381737638706	14.63229020749849	16.507913575024304	14.965359547420183	14.64781567152468	14.648542865342684	15.613828111856323	16.16546506292297	14.087459756974724	14.867220548487552	15.03212878562136	14.38349570296104	14.486721657280427	16.040148924075478	15.874401669275219	14.313660640960315	14.121854213472643	14.998067990159482	14.004436941104846	14.213217844936295	15.008248379492247	14.575388858618739	14.327949458239614	14.627734881297096	14.656165062232295	14.699518513506742	14.735689515577002	14.64849414191464	16.039175978558067	14.332583335868353	15.151373226617082	13.778791470283421	15.444478858870205	14.880413278663399	13.764635436723447	14.574394475324072	14.471815048906118	14.413101043345208	14.366366840208673	15.523175794602356	14.798980584847685	14.11216078253212	14.614319402297761	13.824418870753329	16.11526891274446	17.482306019864296	14.765298550535032	14.414074440319318	14.94094993833055	16.767179075802193	14.388691184021274	14.753964381934852	15.132625592656028	15.427258001866848	14.375333213009087	14.75965778356499	14.781425776920305	14.33692246127806	14.188088654029377	14.35195401347251	14.588617470606703	14.755203459095082	15.550077938361877	14.385748358531675	14.416066892303405	14.278555753435338	14.578027634695832	13.837410912804291	14.049542806541194	15.099282788054518	15.318190292931279	15.045781177501453	13.989049577604519	14.968705707249013	15.470982528619336	14.195060196110212	13.07788303277217	13.243646892620626	15.667927198359434	15.317369507592094	15.247657995049442	16.08218198532058	14.272220268170418	14.171252807510529	14.705191379851726
hsa-let-7b-5p	14.098454071757862	15.561904764952944	14.308833948205198	13.840146914192907	14.818865600365491	15.399873630409513	15.218893402108973	15.00123136001348	14.849391187829267	14.45082337699233	14.29262129245791	13.503977553841755	13.821810574557224	14.168979361474692	15.34592284296547	14.650529587374276	15.774949294587936	14.334478787232573	15.032358039159268	15.118111567895582	14.060699444780775	15.562309003496436	13.798654121614174	14.217995483338797	14.314252359589181	15.345923352733049	14.747968221649337	16.015613717179345	15.035449333155226	15.17108660996402	14.414620724766415	14.256676767232495	13.959410559330406	13.351495689364555	15.649204011939	14.149497838873598	14.091560574529067	15.298225887723845	15.332041092231567	14.54403188588438	15.432829831583279	14.752277816036798	15.445114314881852	14.02072352033193	13.599543812343441	14.085683706232391	14.510320626038558	15.682444983045414	13.426475747950123	13.321724565292376	14.079080492181117	13.91335164988373	14.248189342889809	15.2526162743682	12.843981869599554	13.900232738742954	14.664192978395677	14.63211553734066	16.54101892169514	12.902526828456105	15.01962119088052	12.567136267037798	14.433370499644088	15.925361973499081	15.859780959314419	14.584728290896642	14.295336394417276	14.472504718770013	12.466425286318694	15.110568261085916	14.686985220907626	14.974163572883008	14.830000775134872	13.905143265514532	13.143102627350265	16.035947650535743	14.689877895195451	15.96099734667988	14.323109127286381	12.993156890340316	15.894458980790187	12.37536399223387	13.975830425182437	14.560125731702435	12.350225628772993	14.201917358483337	13.660737286457739	14.766838273883097	14.397532885839382	12.91331144811582	13.748570333169344	12.85855174146624	15.386127388745154	13.611417800777563	15.059658156131231	15.320483976574021	13.50051102989461	14.350743541539035	14.913930016316971
